000000000---0 instance :379, 8 instance :72
000000001---0 instance :1, 8 instance :0
000000010---0 instance :1116, 8 instance :234
000000011---0 instance :1, 8 instance :0
000000100---0 instance :23, 8 instance :4
000000110---0 instance :7, 8 instance :1
000001000---0 instance :598, 8 instance :7
000001001---0 instance :2, 8 instance :0
000001010---0 instance :806, 8 instance :16
000001011---0 instance :1, 8 instance :0
000001100---0 instance :21, 8 instance :1
000001110---0 instance :13, 8 instance :0
000010000---0 instance :65, 8 instance :532
000010001---0 instance :0, 8 instance :8
000010010---0 instance :131, 8 instance :3313
000010011---0 instance :0, 8 instance :12
000010100---0 instance :7, 8 instance :9
000010110---0 instance :1, 8 instance :24
000011000---0 instance :70, 8 instance :27
000011010---0 instance :84, 8 instance :69
000011100---0 instance :3, 8 instance :0
000011110---0 instance :4, 8 instance :0
000100000---0 instance :8, 8 instance :0
000100001---0 instance :0, 8 instance :1
000100010---0 instance :8, 8 instance :1
000101000---0 instance :157, 8 instance :0
000101001---0 instance :1, 8 instance :0
000101010---0 instance :179, 8 instance :0
000101110---0 instance :1, 8 instance :0
000110000---0 instance :1, 8 instance :6
000110001---0 instance :0, 8 instance :1
000110010---0 instance :1, 8 instance :7
000110011---0 instance :0, 8 instance :1
000111000---0 instance :11, 8 instance :1
000111001---0 instance :0, 8 instance :1
000111010---0 instance :14, 8 instance :0
001000000---0 instance :32, 8 instance :1
001000010---0 instance :10, 8 instance :4
001000100---0 instance :4, 8 instance :0
001001000---0 instance :10, 8 instance :0
001001010---0 instance :9, 8 instance :0
001001110---0 instance :1, 8 instance :0
001010000---0 instance :11, 8 instance :35
001010010---0 instance :4, 8 instance :47
001010011---0 instance :0, 8 instance :1
001010100---0 instance :0, 8 instance :2
001011000---0 instance :0, 8 instance :1
001011010---0 instance :2, 8 instance :1
001101000---0 instance :1, 8 instance :0
010000000---0 instance :92, 8 instance :7
010000001---0 instance :3, 8 instance :0
010000010---0 instance :1014, 8 instance :43
010000011---0 instance :1, 8 instance :0
010000100---0 instance :2, 8 instance :1
010000110---0 instance :1, 8 instance :0
010001000---0 instance :76, 8 instance :0
010001010---0 instance :691, 8 instance :2
010001100---0 instance :2, 8 instance :0
010001110---0 instance :3, 8 instance :0
010010000---0 instance :9, 8 instance :71
010010010---0 instance :41, 8 instance :1230
010010011---0 instance :0, 8 instance :5
010010100---0 instance :0, 8 instance :2
010010110---0 instance :0, 8 instance :3
010011001---0 instance :0, 8 instance :1
010011010---0 instance :22, 8 instance :29
010011110---0 instance :0, 8 instance :2
010100000---0 instance :2, 8 instance :0
010100010---0 instance :7, 8 instance :0
010101000---0 instance :19, 8 instance :0
010101010---0 instance :131, 8 instance :0
010110000---0 instance :0, 8 instance :2
010110010---0 instance :0, 8 instance :2
010110011---0 instance :0, 8 instance :1
010111010---0 instance :3, 8 instance :1
011001010---0 instance :2, 8 instance :0
011010000---0 instance :0, 8 instance :1
011010010---0 instance :0, 8 instance :5
110001010---0 instance :1, 8 instance :0
