000000000---1 instance :18, 3 instance :67
000000001---1 instance :0, 3 instance :2
000000010---1 instance :15, 3 instance :187
000000100---1 instance :0, 3 instance :6
000000110---1 instance :0, 3 instance :5
000001000---1 instance :0, 3 instance :2
000001010---1 instance :0, 3 instance :1
000001110---1 instance :0, 3 instance :1
000010000---1 instance :2868, 3 instance :482
000010001---1 instance :0, 3 instance :1
000010010---1 instance :2121, 3 instance :2628
000010011---1 instance :0, 3 instance :5
000010100---1 instance :17, 3 instance :121
000010101---1 instance :1, 3 instance :0
000010110---1 instance :0, 3 instance :233
000011000---1 instance :1, 3 instance :13
000011010---1 instance :1, 3 instance :18
000011110---1 instance :0, 3 instance :4
000100000---1 instance :0, 3 instance :5
000100010---1 instance :1, 3 instance :0
000101010---1 instance :0, 3 instance :1
000110000---1 instance :2, 3 instance :6
000110010---1 instance :1, 3 instance :13
001000000---1 instance :0, 3 instance :2
001000010---1 instance :0, 3 instance :1
001000110---1 instance :1, 3 instance :0
001010000---1 instance :60, 3 instance :5
001010010---1 instance :0, 3 instance :3
001010100---1 instance :10, 3 instance :0
010000000---1 instance :20, 3 instance :105
010000010---1 instance :3, 3 instance :230
010000100---1 instance :0, 3 instance :5
010000110---1 instance :0, 3 instance :6
010001000---1 instance :0, 3 instance :5
010001010---1 instance :0, 3 instance :6
010010000---1 instance :369, 3 instance :338
010010010---1 instance :1231, 3 instance :1434
010010011---1 instance :0, 3 instance :1
010010100---1 instance :0, 3 instance :42
010010110---1 instance :0, 3 instance :81
010011000---1 instance :0, 3 instance :1
010011010---1 instance :0, 3 instance :20
010100000---1 instance :0, 3 instance :1
010100010---1 instance :0, 3 instance :1
010110000---1 instance :0, 3 instance :1
010110010---1 instance :1, 3 instance :6
010110110---1 instance :0, 3 instance :1
011010000---1 instance :0, 3 instance :3
011010010---1 instance :0, 3 instance :2
011010100---1 instance :0, 3 instance :1
100000010---1 instance :0, 3 instance :4
100010000---1 instance :0, 3 instance :1
100010001---1 instance :1, 3 instance :0
100010010---1 instance :0, 3 instance :11
100011010---1 instance :0, 3 instance :2
110000010---1 instance :0, 3 instance :1
110010010---1 instance :0, 3 instance :9
110010110---1 instance :0, 3 instance :1
