000000000---2 instance :674, 3 instance :60
000000001---2 instance :19, 3 instance :2
000000010---2 instance :119, 3 instance :140
000000011---2 instance :9, 3 instance :0
000000100---2 instance :68, 3 instance :5
000000110---2 instance :7, 3 instance :4
000001000---2 instance :44, 3 instance :2
000001010---2 instance :5, 3 instance :0
000001100---2 instance :2, 3 instance :0
000010000---2 instance :792, 3 instance :437
000010001---2 instance :23, 3 instance :2
000010010---2 instance :114, 3 instance :2041
000010011---2 instance :10, 3 instance :5
000010100---2 instance :31, 3 instance :115
000010101---2 instance :1, 3 instance :0
000010110---2 instance :1, 3 instance :203
000011000---2 instance :86, 3 instance :10
000011010---2 instance :3, 3 instance :21
000011110---2 instance :0, 3 instance :4
000100000---2 instance :6, 3 instance :5
000100010---2 instance :2, 3 instance :0
000100011---2 instance :1, 3 instance :0
000101010---2 instance :0, 3 instance :1
000101100---2 instance :1, 3 instance :0
000110000---2 instance :14, 3 instance :6
000110010---2 instance :0, 3 instance :12
000110011---2 instance :1, 3 instance :0
001000000---2 instance :16, 3 instance :2
001000010---2 instance :0, 3 instance :1
001000100---2 instance :5, 3 instance :0
001010000---2 instance :16, 3 instance :5
001010010---2 instance :2, 3 instance :3
001010100---2 instance :2, 3 instance :1
001100000---2 instance :2, 3 instance :0
010000000---2 instance :1253, 3 instance :75
010000001---2 instance :62, 3 instance :0
010000010---2 instance :300, 3 instance :282
010000011---2 instance :18, 3 instance :0
010000100---2 instance :52, 3 instance :6
010000101---2 instance :1, 3 instance :0
010000110---2 instance :12, 3 instance :5
010001000---2 instance :22, 3 instance :2
010001001---2 instance :1, 3 instance :0
010001010---2 instance :5, 3 instance :10
010001011---2 instance :2, 3 instance :0
010001100---2 instance :2, 3 instance :0
010001110---2 instance :0, 3 instance :1
010010000---2 instance :1377, 3 instance :267
010010001---2 instance :97, 3 instance :0
010010010---2 instance :479, 3 instance :2124
010010011---2 instance :45, 3 instance :1
010010100---2 instance :34, 3 instance :49
010010110---2 instance :3, 3 instance :134
010010111---2 instance :1, 3 instance :0
010011000---2 instance :54, 3 instance :2
010011010---2 instance :10, 3 instance :26
010011110---2 instance :0, 3 instance :1
010100000---2 instance :4, 3 instance :1
010100010---2 instance :0, 3 instance :1
010110000---2 instance :12, 3 instance :1
010110010---2 instance :0, 3 instance :8
010110110---2 instance :0, 3 instance :2
011000000---2 instance :5, 3 instance :0
011001000---2 instance :1, 3 instance :0
011010000---2 instance :5, 3 instance :3
011010100---2 instance :2, 3 instance :1
011010110---2 instance :0, 3 instance :1
011011010---2 instance :0, 3 instance :1
100000000---2 instance :1, 3 instance :0
100000010---2 instance :2, 3 instance :5
100010000---2 instance :3, 3 instance :2
100010010---2 instance :1, 3 instance :13
100011010---2 instance :0, 3 instance :3
110000000---2 instance :1, 3 instance :0
110000010---2 instance :3, 3 instance :2
110000011---2 instance :1, 3 instance :0
110001000---2 instance :1, 3 instance :0
110010000---2 instance :5, 3 instance :0
110010010---2 instance :2, 3 instance :11
110010110---2 instance :0, 3 instance :1
