000000000---2 instance :475, 6 instance :545
000000001---2 instance :14, 6 instance :0
000000010---2 instance :95, 6 instance :169
000000011---2 instance :10, 6 instance :0
000000100---2 instance :78, 6 instance :0
000000110---2 instance :6, 6 instance :0
000001000---2 instance :43, 6 instance :191
000001010---2 instance :3, 6 instance :12
000001011---2 instance :1, 6 instance :0
000001100---2 instance :3, 6 instance :0
000010000---2 instance :744, 6 instance :990
000010001---2 instance :22, 6 instance :1
000010010---2 instance :95, 6 instance :468
000010011---2 instance :9, 6 instance :0
000010100---2 instance :37, 6 instance :0
000010101---2 instance :1, 6 instance :0
000010110---2 instance :3, 6 instance :0
000011000---2 instance :93, 6 instance :256
000011010---2 instance :3, 6 instance :28
000100000---2 instance :8, 6 instance :0
000100010---2 instance :1, 6 instance :0
000100011---2 instance :1, 6 instance :0
000101000---2 instance :0, 6 instance :20
000101010---2 instance :0, 6 instance :2
000101100---2 instance :1, 6 instance :0
000110000---2 instance :17, 6 instance :0
000110011---2 instance :1, 6 instance :0
000111000---2 instance :1, 6 instance :26
000111010---2 instance :0, 6 instance :1
001000000---2 instance :16, 6 instance :23
001000010---2 instance :0, 6 instance :28
001000100---2 instance :8, 6 instance :0
001001000---2 instance :0, 6 instance :2
001001010---2 instance :0, 6 instance :1
001010000---2 instance :13, 6 instance :54
001010010---2 instance :3, 6 instance :45
001010100---2 instance :3, 6 instance :0
001011000---2 instance :1, 6 instance :6
001011010---2 instance :0, 6 instance :2
001100000---2 instance :2, 6 instance :0
001100010---2 instance :0, 6 instance :1
010000000---2 instance :1109, 6 instance :662
010000001---2 instance :75, 6 instance :0
010000010---2 instance :357, 6 instance :152
010000011---2 instance :26, 6 instance :0
010000100---2 instance :79, 6 instance :0
010000101---2 instance :4, 6 instance :0
010000110---2 instance :16, 6 instance :0
010001000---2 instance :25, 6 instance :263
010001001---2 instance :1, 6 instance :0
010001010---2 instance :18, 6 instance :28
010001011---2 instance :2, 6 instance :0
010001100---2 instance :3, 6 instance :0
010010000---2 instance :1395, 6 instance :988
010010001---2 instance :133, 6 instance :1
010010010---2 instance :613, 6 instance :430
010010011---2 instance :62, 6 instance :0
010010100---2 instance :49, 6 instance :0
010010101---2 instance :3, 6 instance :0
010010110---2 instance :10, 6 instance :0
010010111---2 instance :1, 6 instance :0
010011000---2 instance :67, 6 instance :384
010011010---2 instance :15, 6 instance :90
010011100---2 instance :1, 6 instance :0
010100000---2 instance :3, 6 instance :0
010100010---2 instance :3, 6 instance :0
010101000---2 instance :0, 6 instance :10
010101010---2 instance :0, 6 instance :1
010110000---2 instance :11, 6 instance :0
010110001---2 instance :1, 6 instance :0
010111000---2 instance :0, 6 instance :17
010111010---2 instance :0, 6 instance :4
011000000---2 instance :8, 6 instance :0
011000010---2 instance :0, 6 instance :2
011000100---2 instance :1, 6 instance :0
011001000---2 instance :1, 6 instance :0
011010000---2 instance :9, 6 instance :2
011010010---2 instance :2, 6 instance :0
011010100---2 instance :4, 6 instance :0
100000000---2 instance :3, 6 instance :1
100000010---2 instance :2, 6 instance :0
100001000---2 instance :0, 6 instance :4
100010000---2 instance :4, 6 instance :1
100010010---2 instance :4, 6 instance :0
100011000---2 instance :0, 6 instance :2
100011010---2 instance :0, 6 instance :1
100101000---2 instance :0, 6 instance :3
110000000---2 instance :4, 6 instance :0
110000001---2 instance :1, 6 instance :0
110000010---2 instance :3, 6 instance :0
110000011---2 instance :2, 6 instance :0
110001000---2 instance :1, 6 instance :0
110001010---2 instance :1, 6 instance :0
110010000---2 instance :6, 6 instance :0
110010010---2 instance :7, 6 instance :0
110010011---2 instance :1, 6 instance :0
