000000000---2 instance :388, 7 instance :1493
000000001---2 instance :16, 7 instance :3
000000010---2 instance :78, 7 instance :3125
000000011---2 instance :10, 7 instance :2
000000100---2 instance :79, 7 instance :23
000000110---2 instance :6, 7 instance :0
000001000---2 instance :46, 7 instance :26
000001010---2 instance :2, 7 instance :48
000001011---2 instance :1, 7 instance :0
000001100---2 instance :5, 7 instance :2
000010000---2 instance :686, 7 instance :340
000010001---2 instance :26, 7 instance :4
000010010---2 instance :88, 7 instance :641
000010011---2 instance :8, 7 instance :0
000010100---2 instance :37, 7 instance :17
000010101---2 instance :1, 7 instance :0
000010110---2 instance :4, 7 instance :0
000011000---2 instance :86, 7 instance :32
000011010---2 instance :4, 7 instance :50
000100000---2 instance :9, 7 instance :110
000100010---2 instance :4, 7 instance :196
000101000---2 instance :0, 7 instance :21
000101010---2 instance :0, 7 instance :21
000101100---2 instance :1, 7 instance :0
000110000---2 instance :17, 7 instance :20
000110001---2 instance :0, 7 instance :2
000110010---2 instance :0, 7 instance :25
000110011---2 instance :1, 7 instance :0
000111000---2 instance :1, 7 instance :6
000111010---2 instance :0, 7 instance :3
001000000---2 instance :17, 7 instance :0
001000100---2 instance :12, 7 instance :0
001000110---2 instance :1, 7 instance :0
001010000---2 instance :18, 7 instance :0
001010010---2 instance :4, 7 instance :0
001010100---2 instance :5, 7 instance :0
001011000---2 instance :1, 7 instance :0
001100000---2 instance :2, 7 instance :0
010000000---2 instance :1024, 7 instance :11
010000001---2 instance :89, 7 instance :0
010000010---2 instance :400, 7 instance :15
010000011---2 instance :32, 7 instance :0
010000100---2 instance :96, 7 instance :3
010000101---2 instance :6, 7 instance :0
010000110---2 instance :21, 7 instance :0
010001000---2 instance :27, 7 instance :0
010001001---2 instance :2, 7 instance :0
010001010---2 instance :20, 7 instance :0
010001011---2 instance :2, 7 instance :0
010001100---2 instance :3, 7 instance :0
010001110---2 instance :1, 7 instance :0
010010000---2 instance :1347, 7 instance :6
010010001---2 instance :155, 7 instance :0
010010010---2 instance :705, 7 instance :16
010010011---2 instance :79, 7 instance :0
010010100---2 instance :59, 7 instance :1
010010101---2 instance :4, 7 instance :0
010010110---2 instance :15, 7 instance :0
010010111---2 instance :1, 7 instance :0
010011000---2 instance :74, 7 instance :0
010011001---2 instance :2, 7 instance :0
010011010---2 instance :19, 7 instance :0
010011100---2 instance :2, 7 instance :0
010100000---2 instance :2, 7 instance :0
010100010---2 instance :3, 7 instance :0
010100011---2 instance :1, 7 instance :0
010101000---2 instance :1, 7 instance :0
010110000---2 instance :15, 7 instance :0
010110001---2 instance :2, 7 instance :0
010110010---2 instance :1, 7 instance :0
010111000---2 instance :1, 7 instance :0
011000000---2 instance :6, 7 instance :0
011000100---2 instance :3, 7 instance :0
011001000---2 instance :1, 7 instance :0
011010000---2 instance :11, 7 instance :0
011010010---2 instance :3, 7 instance :0
011010100---2 instance :7, 7 instance :0
011011000---2 instance :1, 7 instance :0
100000000---2 instance :4, 7 instance :0
100000010---2 instance :4, 7 instance :2
100001100---2 instance :0, 7 instance :1
100010000---2 instance :4, 7 instance :0
100010010---2 instance :4, 7 instance :0
100011000---2 instance :1, 7 instance :0
110000000---2 instance :5, 7 instance :0
110000001---2 instance :1, 7 instance :0
110000010---2 instance :4, 7 instance :0
110000011---2 instance :2, 7 instance :0
110001000---2 instance :1, 7 instance :0
110001010---2 instance :1, 7 instance :0
110010000---2 instance :6, 7 instance :0
110010001---2 instance :1, 7 instance :0
110010010---2 instance :10, 7 instance :0
110010011---2 instance :3, 7 instance :0
