000000000---0 instance :272, 9 instance :766
000000001---0 instance :1, 9 instance :13
000000010---0 instance :871, 9 instance :620
000000011---0 instance :1, 9 instance :0
000000100---0 instance :25, 9 instance :1
000000110---0 instance :10, 9 instance :0
000001000---0 instance :462, 9 instance :4
000001001---0 instance :1, 9 instance :2
000001010---0 instance :731, 9 instance :8
000001011---0 instance :1, 9 instance :0
000001100---0 instance :24, 9 instance :0
000001110---0 instance :28, 9 instance :0
000010000---0 instance :60, 9 instance :1561
000010001---0 instance :0, 9 instance :11
000010010---0 instance :140, 9 instance :2406
000010011---0 instance :0, 9 instance :3
000010100---0 instance :10, 9 instance :5
000010110---0 instance :2, 9 instance :1
000011000---0 instance :61, 9 instance :13
000011001---0 instance :0, 9 instance :2
000011010---0 instance :89, 9 instance :12
000011011---0 instance :0, 9 instance :1
000011100---0 instance :5, 9 instance :1
000011110---0 instance :7, 9 instance :0
000100000---0 instance :8, 9 instance :99
000100001---0 instance :0, 9 instance :26
000100010---0 instance :8, 9 instance :19
000101000---0 instance :182, 9 instance :12
000101001---0 instance :1, 9 instance :7
000101010---0 instance :248, 9 instance :4
000101011---0 instance :1, 9 instance :0
000101110---0 instance :1, 9 instance :0
000110000---0 instance :2, 9 instance :85
000110001---0 instance :0, 9 instance :25
000110010---0 instance :2, 9 instance :37
000111000---0 instance :17, 9 instance :7
000111001---0 instance :0, 9 instance :2
000111010---0 instance :18, 9 instance :17
001000000---0 instance :27, 9 instance :0
001000010---0 instance :15, 9 instance :0
001000100---0 instance :4, 9 instance :0
001001000---0 instance :11, 9 instance :0
001001010---0 instance :20, 9 instance :0
001001100---0 instance :1, 9 instance :0
001001110---0 instance :1, 9 instance :0
001010000---0 instance :15, 9 instance :0
001010010---0 instance :5, 9 instance :0
001011010---0 instance :3, 9 instance :0
001100000---0 instance :1, 9 instance :0
001101000---0 instance :1, 9 instance :0
001101010---0 instance :2, 9 instance :0
001111010---0 instance :1, 9 instance :0
010000000---0 instance :58, 9 instance :27
010000001---0 instance :2, 9 instance :4
010000010---0 instance :1102, 9 instance :16
010000011---0 instance :1, 9 instance :0
010000100---0 instance :1, 9 instance :0
010000110---0 instance :3, 9 instance :0
010001000---0 instance :53, 9 instance :0
010001001---0 instance :2, 9 instance :0
010001010---0 instance :901, 9 instance :1
010001011---0 instance :1, 9 instance :0
010001100---0 instance :2, 9 instance :0
010001110---0 instance :7, 9 instance :0
010010000---0 instance :6, 9 instance :27
010010001---0 instance :0, 9 instance :1
010010010---0 instance :67, 9 instance :86
010011000---0 instance :1, 9 instance :0
010011010---0 instance :37, 9 instance :3
010100000---0 instance :1, 9 instance :5
010100001---0 instance :0, 9 instance :1
010100010---0 instance :6, 9 instance :0
010101000---0 instance :32, 9 instance :2
010101001---0 instance :0, 9 instance :1
010101010---0 instance :226, 9 instance :0
010101011---0 instance :1, 9 instance :0
010110000---0 instance :0, 9 instance :2
010111010---0 instance :11, 9 instance :2
011000000---0 instance :1, 9 instance :0
011001010---0 instance :3, 9 instance :0
110001010---0 instance :1, 9 instance :0
