000000000---0 instance :389, 3 instance :64
000000001---0 instance :1, 3 instance :2
000000010---0 instance :1137, 3 instance :160
000000011---0 instance :1, 3 instance :0
000000100---0 instance :24, 3 instance :6
000000110---0 instance :7, 3 instance :4
000001000---0 instance :618, 3 instance :2
000001001---0 instance :2, 3 instance :0
000001010---0 instance :815, 3 instance :1
000001011---0 instance :1, 3 instance :0
000001100---0 instance :20, 3 instance :0
000001110---0 instance :13, 3 instance :0
000010000---0 instance :65, 3 instance :460
000010001---0 instance :0, 3 instance :2
000010010---0 instance :131, 3 instance :2163
000010011---0 instance :0, 3 instance :5
000010100---0 instance :7, 3 instance :116
000010110---0 instance :1, 3 instance :210
000011000---0 instance :69, 3 instance :10
000011010---0 instance :83, 3 instance :18
000011100---0 instance :2, 3 instance :0
000100000---0 instance :8, 3 instance :5
000100010---0 instance :8, 3 instance :0
000101000---0 instance :149, 3 instance :0
000101001---0 instance :1, 3 instance :0
000101010---0 instance :174, 3 instance :1
000101110---0 instance :1, 3 instance :0
000110000---0 instance :1, 3 instance :6
000110010---0 instance :1, 3 instance :11
000111000---0 instance :11, 3 instance :0
000111010---0 instance :14, 3 instance :0
001000000---0 instance :30, 3 instance :2
001000010---0 instance :10, 3 instance :1
001000100---0 instance :3, 3 instance :0
001001000---0 instance :11, 3 instance :0
001001010---0 instance :8, 3 instance :0
001001110---0 instance :1, 3 instance :0
001010000---0 instance :11, 3 instance :5
001010010---0 instance :4, 3 instance :3
001011010---0 instance :2, 3 instance :0
001101000---0 instance :1, 3 instance :0
010000000---0 instance :101, 3 instance :81
010000001---0 instance :3, 3 instance :0
010000010---0 instance :993, 3 instance :276
010000011---0 instance :1, 3 instance :0
010000100---0 instance :1, 3 instance :6
010000110---0 instance :1, 3 instance :6
010001000---0 instance :79, 3 instance :4
010001010---0 instance :675, 3 instance :7
010001100---0 instance :2, 3 instance :0
010001110---0 instance :3, 3 instance :1
010010000---0 instance :8, 3 instance :282
010010010---0 instance :39, 3 instance :1960
010010011---0 instance :0, 3 instance :1
010010100---0 instance :0, 3 instance :49
010010110---0 instance :0, 3 instance :115
010011000---0 instance :2, 3 instance :1
010011010---0 instance :20, 3 instance :25
010011110---0 instance :0, 3 instance :1
010100000---0 instance :3, 3 instance :1
010100010---0 instance :6, 3 instance :1
010101000---0 instance :17, 3 instance :0
010101010---0 instance :123, 3 instance :0
010110000---0 instance :0, 3 instance :1
010110010---0 instance :0, 3 instance :8
010110110---0 instance :0, 3 instance :1
010111000---0 instance :1, 3 instance :0
010111010---0 instance :3, 3 instance :0
011001010---0 instance :2, 3 instance :0
011010000---0 instance :0, 3 instance :3
011010010---0 instance :0, 3 instance :2
011010100---0 instance :0, 3 instance :1
011011010---0 instance :0, 3 instance :1
100000010---0 instance :0, 3 instance :5
100010000---0 instance :0, 3 instance :1
100010010---0 instance :0, 3 instance :13
100011010---0 instance :0, 3 instance :3
110000010---0 instance :0, 3 instance :1
110010010---0 instance :0, 3 instance :11
110010110---0 instance :0, 3 instance :1
