000000000---4 instance :924, 6 instance :464
000000001---4 instance :13, 6 instance :0
000000010---4 instance :650, 6 instance :179
000001000---4 instance :58, 6 instance :182
000001010---4 instance :51, 6 instance :15
000010000---4 instance :1222, 6 instance :898
000010001---4 instance :32, 6 instance :1
000010010---4 instance :1281, 6 instance :534
000010011---4 instance :2, 6 instance :0
000010100---4 instance :1, 6 instance :0
000011000---4 instance :136, 6 instance :267
000011001---4 instance :4, 6 instance :0
000011010---4 instance :135, 6 instance :28
000100000---4 instance :89, 6 instance :1
000100001---4 instance :8, 6 instance :0
000100010---4 instance :41, 6 instance :0
000101000---4 instance :16, 6 instance :21
000101001---4 instance :6, 6 instance :0
000101010---4 instance :3, 6 instance :2
000110000---4 instance :138, 6 instance :0
000110001---4 instance :23, 6 instance :0
000110010---4 instance :63, 6 instance :0
000111001---4 instance :7, 6 instance :0
000111010---4 instance :19, 6 instance :2
001000000---4 instance :99, 6 instance :21
001000010---4 instance :88, 6 instance :33
001001001---4 instance :1, 6 instance :0
001001010---4 instance :6, 6 instance :1
001010000---4 instance :109, 6 instance :53
001010010---4 instance :80, 6 instance :55
001011000---4 instance :19, 6 instance :5
001011010---4 instance :6, 6 instance :2
001011100---4 instance :1, 6 instance :0
001100000---4 instance :12, 6 instance :0
001100010---4 instance :9, 6 instance :1
001101000---4 instance :4, 6 instance :0
001110000---4 instance :13, 6 instance :0
001110010---4 instance :8, 6 instance :0
001111000---4 instance :1, 6 instance :0
001111010---4 instance :4, 6 instance :1
010000000---4 instance :110, 6 instance :600
010000001---4 instance :1, 6 instance :0
010000010---4 instance :69, 6 instance :180
010001000---4 instance :12, 6 instance :266
010001010---4 instance :8, 6 instance :34
010010000---4 instance :77, 6 instance :959
010010010---4 instance :93, 6 instance :498
010010011---4 instance :0, 6 instance :1
010011000---4 instance :11, 6 instance :407
010011010---4 instance :10, 6 instance :112
010100000---4 instance :1, 6 instance :0
010100001---4 instance :1, 6 instance :0
010100010---4 instance :3, 6 instance :0
010101000---4 instance :1, 6 instance :10
010101010---4 instance :0, 6 instance :2
010110000---4 instance :2, 6 instance :1
010111000---4 instance :2, 6 instance :20
010111010---4 instance :0, 6 instance :4
011000000---4 instance :2, 6 instance :0
011000010---4 instance :5, 6 instance :3
011001010---4 instance :1, 6 instance :0
011010000---4 instance :2, 6 instance :3
011110010---4 instance :0, 6 instance :1
100000001---4 instance :1, 6 instance :0
100001000---4 instance :1, 6 instance :4
100001001---4 instance :1, 6 instance :0
100010000---4 instance :3, 6 instance :1
100010001---4 instance :2, 6 instance :0
100010010---4 instance :0, 6 instance :1
100011000---4 instance :0, 6 instance :2
100011010---4 instance :0, 6 instance :2
100101000---4 instance :0, 6 instance :3
100110000---4 instance :1, 6 instance :0
100111000---4 instance :1, 6 instance :0
100111010---4 instance :1, 6 instance :0
