000000000---8 instance :61, 9 instance :850
000000001---8 instance :0, 9 instance :14
000000010---8 instance :201, 9 instance :660
000000100---8 instance :4, 9 instance :1
000000110---8 instance :1, 9 instance :0
000001000---8 instance :6, 9 instance :3
000001001---8 instance :0, 9 instance :2
000001010---8 instance :13, 9 instance :8
000001100---8 instance :2, 9 instance :0
000010000---8 instance :463, 9 instance :1589
000010001---8 instance :7, 9 instance :13
000010010---8 instance :3026, 9 instance :2337
000010011---8 instance :12, 9 instance :3
000010100---8 instance :12, 9 instance :5
000010110---8 instance :28, 9 instance :1
000011000---8 instance :29, 9 instance :11
000011001---8 instance :0, 9 instance :2
000011010---8 instance :71, 9 instance :12
000011011---8 instance :0, 9 instance :1
000011100---8 instance :0, 9 instance :1
000100000---8 instance :0, 9 instance :98
000100001---8 instance :1, 9 instance :23
000100010---8 instance :0, 9 instance :18
000101000---8 instance :0, 9 instance :13
000101001---8 instance :0, 9 instance :4
000101010---8 instance :0, 9 instance :3
000110000---8 instance :5, 9 instance :69
000110001---8 instance :1, 9 instance :21
000110010---8 instance :10, 9 instance :32
000110011---8 instance :1, 9 instance :0
000111000---8 instance :1, 9 instance :7
000111010---8 instance :1, 9 instance :15
001000000---8 instance :1, 9 instance :0
001000010---8 instance :7, 9 instance :0
001010000---8 instance :40, 9 instance :0
001010010---8 instance :70, 9 instance :0
001010011---8 instance :1, 9 instance :0
001010100---8 instance :2, 9 instance :0
001011000---8 instance :1, 9 instance :0
001011010---8 instance :1, 9 instance :0
010000000---8 instance :9, 9 instance :21
010000001---8 instance :0, 9 instance :5
010000010---8 instance :56, 9 instance :13
010000100---8 instance :1, 9 instance :0
010010000---8 instance :77, 9 instance :19
010010001---8 instance :1, 9 instance :0
010010010---8 instance :1556, 9 instance :60
010010011---8 instance :5, 9 instance :0
010010100---8 instance :3, 9 instance :1
010010110---8 instance :3, 9 instance :0
010011000---8 instance :1, 9 instance :0
010011001---8 instance :1, 9 instance :0
010011010---8 instance :41, 9 instance :2
010011110---8 instance :2, 9 instance :0
010100000---8 instance :0, 9 instance :4
010101000---8 instance :0, 9 instance :1
010101001---8 instance :0, 9 instance :1
010110000---8 instance :3, 9 instance :2
010110010---8 instance :2, 9 instance :0
010110011---8 instance :1, 9 instance :0
010111000---8 instance :1, 9 instance :0
010111010---8 instance :1, 9 instance :2
011010000---8 instance :1, 9 instance :0
011010010---8 instance :5, 9 instance :0
