000000000---7 instance :1691, 8 instance :50
000000001---7 instance :1, 8 instance :0
000000010---7 instance :3142, 8 instance :179
000000011---7 instance :2, 8 instance :0
000000100---7 instance :19, 8 instance :4
000000110---7 instance :0, 8 instance :1
000001000---7 instance :25, 8 instance :6
000001010---7 instance :41, 8 instance :13
000001100---7 instance :3, 8 instance :2
000010000---7 instance :308, 8 instance :411
000010001---7 instance :2, 8 instance :5
000010010---7 instance :568, 8 instance :2805
000010011---7 instance :0, 8 instance :14
000010100---7 instance :13, 8 instance :16
000010110---7 instance :0, 8 instance :29
000011000---7 instance :29, 8 instance :27
000011010---7 instance :42, 8 instance :68
000011110---7 instance :0, 8 instance :1
000100000---7 instance :92, 8 instance :1
000100001---7 instance :0, 8 instance :1
000100010---7 instance :166, 8 instance :0
000101000---7 instance :21, 8 instance :0
000101010---7 instance :14, 8 instance :0
000110000---7 instance :19, 8 instance :7
000110010---7 instance :24, 8 instance :8
000110011---7 instance :0, 8 instance :1
000111000---7 instance :4, 8 instance :2
000111001---7 instance :0, 8 instance :1
000111010---7 instance :2, 8 instance :1
001000000---7 instance :0, 8 instance :2
001000010---7 instance :0, 8 instance :9
001010000---7 instance :0, 8 instance :43
001010010---7 instance :0, 8 instance :89
001010011---7 instance :0, 8 instance :1
001010100---7 instance :0, 8 instance :2
001010110---7 instance :0, 8 instance :2
001011010---7 instance :0, 8 instance :3
010000000---7 instance :9, 8 instance :8
010000010---7 instance :10, 8 instance :55
010000100---7 instance :2, 8 instance :1
010001010---7 instance :0, 8 instance :1
010010000---7 instance :2, 8 instance :77
010010001---7 instance :0, 8 instance :3
010010010---7 instance :10, 8 instance :1811
010010011---7 instance :0, 8 instance :6
010010100---7 instance :1, 8 instance :2
010010110---7 instance :0, 8 instance :4
010011001---7 instance :0, 8 instance :1
010011010---7 instance :0, 8 instance :51
010011011---7 instance :0, 8 instance :1
010011110---7 instance :0, 8 instance :2
010110000---7 instance :0, 8 instance :2
010110001---7 instance :0, 8 instance :1
010110010---7 instance :0, 8 instance :5
010110011---7 instance :0, 8 instance :1
010111000---7 instance :0, 8 instance :1
010111010---7 instance :0, 8 instance :2
011010000---7 instance :0, 8 instance :1
011010010---7 instance :0, 8 instance :8
011010110---7 instance :0, 8 instance :1
100000010---7 instance :1, 8 instance :0
