000000000---2 instance :437, 4 instance :957
000000001---2 instance :13, 4 instance :12
000000010---2 instance :91, 4 instance :663
000000011---2 instance :9, 4 instance :0
000000100---2 instance :80, 4 instance :0
000000110---2 instance :6, 4 instance :0
000001000---2 instance :43, 4 instance :59
000001001---2 instance :0, 4 instance :1
000001010---2 instance :3, 4 instance :52
000001011---2 instance :1, 4 instance :0
000001100---2 instance :4, 4 instance :0
000010000---2 instance :716, 4 instance :1236
000010001---2 instance :23, 4 instance :35
000010010---2 instance :90, 4 instance :1279
000010011---2 instance :9, 4 instance :2
000010100---2 instance :39, 4 instance :1
000010101---2 instance :1, 4 instance :0
000010110---2 instance :4, 4 instance :0
000011000---2 instance :90, 4 instance :137
000011001---2 instance :0, 4 instance :3
000011010---2 instance :4, 4 instance :127
000100000---2 instance :8, 4 instance :89
000100001---2 instance :0, 4 instance :8
000100010---2 instance :1, 4 instance :39
000100011---2 instance :1, 4 instance :0
000101000---2 instance :0, 4 instance :16
000101001---2 instance :0, 4 instance :5
000101010---2 instance :0, 4 instance :3
000101100---2 instance :1, 4 instance :0
000110000---2 instance :17, 4 instance :135
000110001---2 instance :0, 4 instance :22
000110010---2 instance :0, 4 instance :60
000110011---2 instance :1, 4 instance :0
000111000---2 instance :1, 4 instance :34
000111001---2 instance :0, 4 instance :6
000111010---2 instance :0, 4 instance :19
001000000---2 instance :16, 4 instance :99
001000010---2 instance :0, 4 instance :87
001000100---2 instance :9, 4 instance :0
001001000---2 instance :0, 4 instance :2
001001001---2 instance :0, 4 instance :1
001001010---2 instance :0, 4 instance :6
001010000---2 instance :17, 4 instance :105
001010010---2 instance :4, 4 instance :76
001010100---2 instance :5, 4 instance :0
001011000---2 instance :1, 4 instance :18
001011010---2 instance :0, 4 instance :7
001011100---2 instance :0, 4 instance :1
001100000---2 instance :2, 4 instance :10
001100010---2 instance :0, 4 instance :7
001101000---2 instance :0, 4 instance :2
001110000---2 instance :0, 4 instance :11
001110010---2 instance :0, 4 instance :8
001111000---2 instance :0, 4 instance :1
001111010---2 instance :0, 4 instance :3
010000000---2 instance :1064, 4 instance :110
010000001---2 instance :80, 4 instance :1
010000010---2 instance :380, 4 instance :62
010000011---2 instance :30, 4 instance :0
010000100---2 instance :91, 4 instance :0
010000101---2 instance :4, 4 instance :0
010000110---2 instance :17, 4 instance :0
010001000---2 instance :26, 4 instance :10
010001001---2 instance :2, 4 instance :0
010001010---2 instance :18, 4 instance :8
010001011---2 instance :2, 4 instance :0
010001100---2 instance :3, 4 instance :0
010001110---2 instance :1, 4 instance :0
010010000---2 instance :1376, 4 instance :73
010010001---2 instance :138, 4 instance :0
010010010---2 instance :656, 4 instance :84
010010011---2 instance :70, 4 instance :0
010010100---2 instance :56, 4 instance :0
010010101---2 instance :4, 4 instance :0
010010110---2 instance :11, 4 instance :0
010010111---2 instance :1, 4 instance :0
010011000---2 instance :71, 4 instance :11
010011001---2 instance :1, 4 instance :0
010011010---2 instance :17, 4 instance :9
010011100---2 instance :1, 4 instance :0
010100000---2 instance :2, 4 instance :1
010100001---2 instance :0, 4 instance :1
010101000---2 instance :0, 4 instance :1
010110000---2 instance :13, 4 instance :2
010110001---2 instance :2, 4 instance :0
010110010---2 instance :1, 4 instance :0
010111000---2 instance :0, 4 instance :2
011000000---2 instance :6, 4 instance :2
011000010---2 instance :0, 4 instance :4
011000100---2 instance :3, 4 instance :0
011001000---2 instance :1, 4 instance :0
011001010---2 instance :0, 4 instance :1
011010000---2 instance :9, 4 instance :2
011010010---2 instance :3, 4 instance :0
011010100---2 instance :5, 4 instance :0
011011000---2 instance :1, 4 instance :0
100000000---2 instance :2, 4 instance :1
100000001---2 instance :0, 4 instance :1
100000010---2 instance :3, 4 instance :0
100001000---2 instance :0, 4 instance :1
100001001---2 instance :0, 4 instance :1
100010000---2 instance :4, 4 instance :3
100010001---2 instance :0, 4 instance :1
100010010---2 instance :4, 4 instance :0
100110000---2 instance :0, 4 instance :1
100111000---2 instance :0, 4 instance :1
100111010---2 instance :0, 4 instance :1
110000000---2 instance :5, 4 instance :0
110000001---2 instance :1, 4 instance :0
110000010---2 instance :3, 4 instance :0
110000011---2 instance :2, 4 instance :0
110001000---2 instance :1, 4 instance :0
110001010---2 instance :1, 4 instance :0
110010000---2 instance :6, 4 instance :0
110010010---2 instance :9, 4 instance :0
110010011---2 instance :1, 4 instance :0
