000000000---6 instance :706, 8 instance :63
000000010---6 instance :132, 8 instance :207
000000100---6 instance :0, 8 instance :4
000000110---6 instance :0, 8 instance :1
000001000---6 instance :212, 8 instance :6
000001010---6 instance :6, 8 instance :13
000001100---6 instance :0, 8 instance :2
000010000---6 instance :1148, 8 instance :476
000010001---6 instance :1, 8 instance :7
000010010---6 instance :329, 8 instance :3089
000010011---6 instance :0, 8 instance :12
000010100---6 instance :0, 8 instance :11
000010110---6 instance :0, 8 instance :28
000011000---6 instance :256, 8 instance :28
000011010---6 instance :15, 8 instance :70
000100001---6 instance :0, 8 instance :1
000101000---6 instance :14, 8 instance :0
000101010---6 instance :2, 8 instance :0
000110000---6 instance :0, 8 instance :5
000110001---6 instance :0, 8 instance :1
000110010---6 instance :0, 8 instance :10
000110011---6 instance :0, 8 instance :1
000111000---6 instance :18, 8 instance :1
000111001---6 instance :0, 8 instance :1
000111010---6 instance :0, 8 instance :1
001000000---6 instance :31, 8 instance :1
001000010---6 instance :21, 8 instance :6
001001000---6 instance :2, 8 instance :0
001001010---6 instance :1, 8 instance :0
001010000---6 instance :51, 8 instance :37
001010010---6 instance :35, 8 instance :64
001010011---6 instance :0, 8 instance :1
001010100---6 instance :0, 8 instance :2
001011000---6 instance :6, 8 instance :1
010000000---6 instance :777, 8 instance :9
010000010---6 instance :97, 8 instance :54
010000100---6 instance :0, 8 instance :1
010001000---6 instance :245, 8 instance :0
010001010---6 instance :20, 8 instance :2
010010000---6 instance :1091, 8 instance :80
010010010---6 instance :247, 8 instance :1486
010010011---6 instance :0, 8 instance :5
010010100---6 instance :0, 8 instance :3
010010110---6 instance :0, 8 instance :3
010011000---6 instance :361, 8 instance :1
010011001---6 instance :0, 8 instance :1
010011010---6 instance :54, 8 instance :38
010011110---6 instance :0, 8 instance :2
010101000---6 instance :9, 8 instance :0
010101010---6 instance :1, 8 instance :0
010110000---6 instance :1, 8 instance :3
010110010---6 instance :1, 8 instance :2
010110011---6 instance :0, 8 instance :1
010111000---6 instance :12, 8 instance :1
010111010---6 instance :3, 8 instance :1
011000000---6 instance :1, 8 instance :0
011010000---6 instance :2, 8 instance :1
011010010---6 instance :0, 8 instance :5
100001000---6 instance :3, 8 instance :0
100011000---6 instance :2, 8 instance :0
100011010---6 instance :1, 8 instance :0
100101000---6 instance :2, 8 instance :0
