000000000---3 instance :51, 4 instance :1164
000000001---3 instance :2, 4 instance :16
000000010---3 instance :119, 4 instance :766
000000100---3 instance :5, 4 instance :0
000000110---3 instance :4, 4 instance :0
000001000---3 instance :3, 4 instance :68
000001001---3 instance :0, 4 instance :2
000001010---3 instance :0, 4 instance :59
000010000---3 instance :394, 4 instance :1322
000010001---3 instance :2, 4 instance :30
000010010---3 instance :1825, 4 instance :1269
000010011---3 instance :6, 4 instance :2
000010100---3 instance :111, 4 instance :0
000010110---3 instance :205, 4 instance :0
000011000---3 instance :10, 4 instance :146
000011001---3 instance :0, 4 instance :2
000011010---3 instance :24, 4 instance :104
000011110---3 instance :3, 4 instance :0
000100000---3 instance :5, 4 instance :80
000100001---3 instance :0, 4 instance :7
000100010---3 instance :0, 4 instance :30
000101000---3 instance :0, 4 instance :14
000101001---3 instance :0, 4 instance :2
000101010---3 instance :1, 4 instance :2
000110000---3 instance :5, 4 instance :124
000110001---3 instance :1, 4 instance :13
000110010---3 instance :11, 4 instance :42
000111000---3 instance :0, 4 instance :28
000111001---3 instance :0, 4 instance :4
000111010---3 instance :0, 4 instance :11
001000000---3 instance :2, 4 instance :89
001000010---3 instance :1, 4 instance :60
001001000---3 instance :0, 4 instance :3
001001001---3 instance :0, 4 instance :1
001001010---3 instance :0, 4 instance :3
001010000---3 instance :4, 4 instance :69
001010010---3 instance :7, 4 instance :40
001010100---3 instance :1, 4 instance :0
001010110---3 instance :1, 4 instance :0
001011000---3 instance :0, 4 instance :9
001011010---3 instance :0, 4 instance :5
001100000---3 instance :0, 4 instance :6
001100010---3 instance :0, 4 instance :3
001101000---3 instance :0, 4 instance :1
001110000---3 instance :1, 4 instance :6
001110010---3 instance :0, 4 instance :6
001111000---3 instance :0, 4 instance :1
001111010---3 instance :0, 4 instance :3
010000000---3 instance :61, 4 instance :89
010000001---3 instance :0, 4 instance :1
010000010---3 instance :291, 4 instance :37
010000100---3 instance :7, 4 instance :0
010000110---3 instance :5, 4 instance :0
010001000---3 instance :2, 4 instance :8
010001010---3 instance :8, 4 instance :5
010001110---3 instance :1, 4 instance :0
010010000---3 instance :237, 4 instance :36
010010010---3 instance :2389, 4 instance :28
010010011---3 instance :1, 4 instance :0
010010100---3 instance :51, 4 instance :0
010010110---3 instance :173, 4 instance :0
010011000---3 instance :3, 4 instance :4
010011010---3 instance :29, 4 instance :3
010011110---3 instance :2, 4 instance :0
010100000---3 instance :1, 4 instance :0
010110010---3 instance :11, 4 instance :0
010110110---3 instance :2, 4 instance :0
010111010---3 instance :1, 4 instance :0
011000000---3 instance :0, 4 instance :2
011000010---3 instance :0, 4 instance :3
011001010---3 instance :0, 4 instance :1
011010000---3 instance :3, 4 instance :0
011010010---3 instance :2, 4 instance :0
011010100---3 instance :1, 4 instance :0
011010110---3 instance :1, 4 instance :0
011011010---3 instance :1, 4 instance :0
100000000---3 instance :0, 4 instance :1
100000001---3 instance :0, 4 instance :1
100000010---3 instance :5, 4 instance :0
100001000---3 instance :0, 4 instance :2
100010000---3 instance :2, 4 instance :3
100010001---3 instance :0, 4 instance :1
100010010---3 instance :15, 4 instance :0
100011010---3 instance :2, 4 instance :0
100101000---3 instance :0, 4 instance :1
100101010---3 instance :0, 4 instance :1
100110000---3 instance :0, 4 instance :1
110000010---3 instance :2, 4 instance :0
110001010---3 instance :1, 4 instance :0
110010010---3 instance :13, 4 instance :0
110010110---3 instance :1, 4 instance :0
110011010---3 instance :1, 4 instance :0
