000000000---0 instance :299, 2 instance :565
000000001---0 instance :1, 2 instance :14
000000010---0 instance :953, 2 instance :97
000000011---0 instance :1, 2 instance :9
000000100---0 instance :26, 2 instance :75
000001000---0 instance :493, 2 instance :40
000001001---0 instance :1, 2 instance :0
000001010---0 instance :759, 2 instance :5
000001011---0 instance :1, 2 instance :0
000001100---0 instance :24, 2 instance :2
000001110---0 instance :19, 2 instance :0
000010000---0 instance :62, 2 instance :752
000010001---0 instance :0, 2 instance :25
000010010---0 instance :131, 2 instance :102
000010011---0 instance :0, 2 instance :9
000010100---0 instance :9, 2 instance :36
000010101---0 instance :0, 2 instance :1
000010110---0 instance :2, 2 instance :4
000011000---0 instance :63, 2 instance :91
000011010---0 instance :85, 2 instance :3
000011100---0 instance :5, 2 instance :0
000011110---0 instance :6, 2 instance :0
000100010---0 instance :6, 2 instance :2
000100011---0 instance :0, 2 instance :1
000101000---0 instance :176, 2 instance :0
000101001---0 instance :1, 2 instance :0
000101010---0 instance :236, 2 instance :0
000101100---0 instance :0, 2 instance :1
000101110---0 instance :1, 2 instance :0
000110000---0 instance :2, 2 instance :16
000110010---0 instance :2, 2 instance :0
000110011---0 instance :0, 2 instance :1
000111000---0 instance :15, 2 instance :1
000111010---0 instance :17, 2 instance :0
001000000---0 instance :27, 2 instance :17
001000010---0 instance :14, 2 instance :0
001000100---0 instance :4, 2 instance :6
001001000---0 instance :10, 2 instance :0
001001010---0 instance :16, 2 instance :0
001001100---0 instance :1, 2 instance :0
001001110---0 instance :1, 2 instance :0
001010000---0 instance :11, 2 instance :12
001010010---0 instance :5, 2 instance :3
001010100---0 instance :0, 2 instance :3
001011010---0 instance :3, 2 instance :0
001100000---0 instance :1, 2 instance :2
001101000---0 instance :1, 2 instance :0
001101010---0 instance :2, 2 instance :0
001111010---0 instance :1, 2 instance :0
010000000---0 instance :66, 2 instance :1184
010000001---0 instance :2, 2 instance :66
010000010---0 instance :1079, 2 instance :341
010000011---0 instance :1, 2 instance :24
010000100---0 instance :1, 2 instance :70
010000101---0 instance :0, 2 instance :3
010000110---0 instance :2, 2 instance :13
010001000---0 instance :63, 2 instance :26
010001001---0 instance :2, 2 instance :1
010001010---0 instance :846, 2 instance :11
010001011---0 instance :1, 2 instance :2
010001100---0 instance :2, 2 instance :3
010001110---0 instance :5, 2 instance :0
010010000---0 instance :7, 2 instance :1374
010010001---0 instance :0, 2 instance :124
010010010---0 instance :60, 2 instance :558
010010011---0 instance :0, 2 instance :53
010010100---0 instance :0, 2 instance :43
010010101---0 instance :0, 2 instance :1
010010110---0 instance :0, 2 instance :5
010010111---0 instance :0, 2 instance :1
010011000---0 instance :2, 2 instance :63
010011010---0 instance :33, 2 instance :12
010100000---0 instance :2, 2 instance :3
010100010---0 instance :8, 2 instance :1
010101000---0 instance :29, 2 instance :0
010101010---0 instance :192, 2 instance :0
010110000---0 instance :0, 2 instance :12
010110010---0 instance :0, 2 instance :1
010111010---0 instance :7, 2 instance :0
011000000---0 instance :1, 2 instance :8
011000100---0 instance :0, 2 instance :1
011001000---0 instance :0, 2 instance :1
011001010---0 instance :2, 2 instance :0
011010000---0 instance :0, 2 instance :6
011010010---0 instance :0, 2 instance :2
011010100---0 instance :0, 2 instance :3
100000000---0 instance :0, 2 instance :1
100000010---0 instance :0, 2 instance :2
100010000---0 instance :0, 2 instance :5
100010010---0 instance :0, 2 instance :2
110000000---0 instance :0, 2 instance :4
110000010---0 instance :0, 2 instance :3
110000011---0 instance :0, 2 instance :1
110001000---0 instance :0, 2 instance :1
110010000---0 instance :0, 2 instance :7
110010010---0 instance :0, 2 instance :4
