000000000---1 instance :12, 4 instance :1052
000000001---1 instance :0, 4 instance :13
000000010---1 instance :12, 4 instance :703
000000110---1 instance :1, 4 instance :0
000001000---1 instance :0, 4 instance :63
000001001---1 instance :0, 4 instance :1
000001010---1 instance :0, 4 instance :57
000010000---1 instance :2615, 4 instance :1286
000010001---1 instance :1, 4 instance :34
000010010---1 instance :1977, 4 instance :1277
000010011---1 instance :0, 4 instance :2
000010100---1 instance :28, 4 instance :0
000010101---1 instance :1, 4 instance :0
000011000---1 instance :1, 4 instance :143
000011001---1 instance :0, 4 instance :2
000011010---1 instance :1, 4 instance :111
000100000---1 instance :0, 4 instance :84
000100001---1 instance :0, 4 instance :6
000100010---1 instance :1, 4 instance :35
000101000---1 instance :0, 4 instance :15
000101001---1 instance :0, 4 instance :4
000101010---1 instance :0, 4 instance :3
000110000---1 instance :2, 4 instance :131
000110001---1 instance :0, 4 instance :17
000110010---1 instance :1, 4 instance :50
000111000---1 instance :0, 4 instance :33
000111001---1 instance :0, 4 instance :4
000111010---1 instance :0, 4 instance :14
001000000---1 instance :0, 4 instance :99
001000010---1 instance :0, 4 instance :80
001000110---1 instance :1, 4 instance :0
001001000---1 instance :0, 4 instance :1
001001001---1 instance :0, 4 instance :1
001001010---1 instance :0, 4 instance :4
001010000---1 instance :86, 4 instance :89
001010010---1 instance :1, 4 instance :59
001010100---1 instance :22, 4 instance :0
001011000---1 instance :0, 4 instance :16
001011010---1 instance :0, 4 instance :6
001100000---1 instance :0, 4 instance :8
001100010---1 instance :0, 4 instance :4
001101000---1 instance :0, 4 instance :2
001110000---1 instance :0, 4 instance :7
001110010---1 instance :0, 4 instance :7
001111000---1 instance :0, 4 instance :1
001111010---1 instance :0, 4 instance :3
010000000---1 instance :14, 4 instance :99
010000001---1 instance :0, 4 instance :1
010000010---1 instance :5, 4 instance :54
010000100---1 instance :1, 4 instance :0
010001000---1 instance :0, 4 instance :11
010001010---1 instance :0, 4 instance :6
010010000---1 instance :333, 4 instance :53
010010010---1 instance :1624, 4 instance :55
010011000---1 instance :0, 4 instance :5
010011010---1 instance :0, 4 instance :7
010100000---1 instance :0, 4 instance :1
010100010---1 instance :0, 4 instance :2
010101000---1 instance :0, 4 instance :1
010110000---1 instance :0, 4 instance :1
010110010---1 instance :1, 4 instance :0
011000000---1 instance :0, 4 instance :2
011000010---1 instance :0, 4 instance :4
011001010---1 instance :0, 4 instance :1
011010000---1 instance :0, 4 instance :1
100000000---1 instance :0, 4 instance :1
100000001---1 instance :0, 4 instance :1
100001000---1 instance :0, 4 instance :2
100010000---1 instance :0, 4 instance :3
100101010---1 instance :0, 4 instance :1
100110000---1 instance :0, 4 instance :1
100111000---1 instance :0, 4 instance :1
