000000000---3 instance :54, 9 instance :876
000000001---3 instance :2, 9 instance :14
000000010---3 instance :124, 9 instance :673
000000100---3 instance :5, 9 instance :1
000000110---3 instance :4, 9 instance :0
000001001---3 instance :0, 9 instance :2
000001010---3 instance :0, 9 instance :9
000010000---3 instance :409, 9 instance :1594
000010001---3 instance :2, 9 instance :14
000010010---3 instance :1893, 9 instance :2322
000010011---3 instance :6, 9 instance :3
000010100---3 instance :109, 9 instance :3
000010110---3 instance :205, 9 instance :1
000011001---3 instance :0, 9 instance :1
000011010---3 instance :23, 9 instance :11
000011011---3 instance :0, 9 instance :1
000011100---3 instance :0, 9 instance :1
000011110---3 instance :3, 9 instance :0
000100000---3 instance :5, 9 instance :95
000100001---3 instance :0, 9 instance :23
000100010---3 instance :0, 9 instance :18
000101000---3 instance :0, 9 instance :13
000101001---3 instance :0, 9 instance :4
000101010---3 instance :1, 9 instance :4
000110000---3 instance :6, 9 instance :69
000110001---3 instance :0, 9 instance :21
000110010---3 instance :11, 9 instance :29
000111000---3 instance :0, 9 instance :7
000111001---3 instance :0, 9 instance :1
000111010---3 instance :0, 9 instance :14
001000000---3 instance :2, 9 instance :0
001000010---3 instance :1, 9 instance :0
001010000---3 instance :4, 9 instance :0
001010010---3 instance :7, 9 instance :0
001010100---3 instance :1, 9 instance :0
001110000---3 instance :1, 9 instance :0
010000000---3 instance :67, 9 instance :17
010000001---3 instance :0, 9 instance :5
010000010---3 instance :294, 9 instance :11
010000100---3 instance :7, 9 instance :0
010000110---3 instance :5, 9 instance :0
010001000---3 instance :2, 9 instance :0
010001010---3 instance :8, 9 instance :0
010001110---3 instance :1, 9 instance :0
010010000---3 instance :256, 9 instance :17
010010010---3 instance :2292, 9 instance :51
010010011---3 instance :1, 9 instance :0
010010100---3 instance :53, 9 instance :1
010010110---3 instance :158, 9 instance :0
010011000---3 instance :2, 9 instance :0
010011010---3 instance :28, 9 instance :2
010011110---3 instance :2, 9 instance :0
010100000---3 instance :1, 9 instance :3
010100010---3 instance :1, 9 instance :0
010101000---3 instance :0, 9 instance :1
010101001---3 instance :0, 9 instance :1
010110010---3 instance :10, 9 instance :0
010110110---3 instance :2, 9 instance :0
010111010---3 instance :1, 9 instance :2
011010000---3 instance :3, 9 instance :0
011010010---3 instance :2, 9 instance :0
011010100---3 instance :1, 9 instance :0
011010110---3 instance :1, 9 instance :0
011011010---3 instance :1, 9 instance :0
100000010---3 instance :5, 9 instance :0
100010000---3 instance :2, 9 instance :0
100010010---3 instance :14, 9 instance :0
100011010---3 instance :2, 9 instance :0
110000010---3 instance :2, 9 instance :0
110001010---3 instance :1, 9 instance :0
110010010---3 instance :12, 9 instance :0
110010110---3 instance :1, 9 instance :0
110011010---3 instance :1, 9 instance :0
