000000000---1 instance :15, 5 instance :336
000000001---1 instance :0, 5 instance :2
000000010---1 instance :13, 5 instance :567
000000011---1 instance :0, 5 instance :1
000000100---1 instance :0, 5 instance :2
000000110---1 instance :1, 5 instance :5
000001000---1 instance :0, 5 instance :7
000001010---1 instance :0, 5 instance :13
000010000---1 instance :2747, 5 instance :1050
000010001---1 instance :0, 5 instance :11
000010010---1 instance :2061, 5 instance :1740
000010011---1 instance :0, 5 instance :9
000010100---1 instance :23, 5 instance :14
000010101---1 instance :1, 5 instance :0
000010110---1 instance :0, 5 instance :27
000011000---1 instance :1, 5 instance :6
000011010---1 instance :1, 5 instance :35
000011011---1 instance :0, 5 instance :3
000011100---1 instance :0, 5 instance :1
000011110---1 instance :0, 5 instance :1
000100000---1 instance :0, 5 instance :4
000100010---1 instance :1, 5 instance :5
000100110---1 instance :0, 5 instance :1
000101000---1 instance :0, 5 instance :2
000101010---1 instance :0, 5 instance :4
000110000---1 instance :2, 5 instance :4
000110001---1 instance :0, 5 instance :1
000110010---1 instance :1, 5 instance :38
000110011---1 instance :0, 5 instance :3
000111010---1 instance :0, 5 instance :3
001000000---1 instance :0, 5 instance :22
001000010---1 instance :0, 5 instance :71
001000100---1 instance :0, 5 instance :2
001010000---1 instance :69, 5 instance :92
001010010---1 instance :0, 5 instance :302
001010100---1 instance :18, 5 instance :4
001010110---1 instance :0, 5 instance :5
001011000---1 instance :0, 5 instance :1
001011010---1 instance :0, 5 instance :1
001100000---1 instance :0, 5 instance :1
001100010---1 instance :0, 5 instance :1
001110010---1 instance :0, 5 instance :4
010000000---1 instance :19, 5 instance :27
010000001---1 instance :0, 5 instance :2
010000010---1 instance :3, 5 instance :202
010000011---1 instance :0, 5 instance :1
010000110---1 instance :0, 5 instance :1
010001000---1 instance :0, 5 instance :1
010001010---1 instance :0, 5 instance :14
010010000---1 instance :336, 5 instance :61
010010001---1 instance :0, 5 instance :1
010010010---1 instance :1427, 5 instance :592
010010011---1 instance :0, 5 instance :4
010010100---1 instance :0, 5 instance :3
010010110---1 instance :0, 5 instance :4
010011000---1 instance :0, 5 instance :2
010011010---1 instance :0, 5 instance :14
010011011---1 instance :0, 5 instance :1
010011100---1 instance :0, 5 instance :1
010100000---1 instance :0, 5 instance :1
010110000---1 instance :0, 5 instance :1
010110010---1 instance :1, 5 instance :4
010111010---1 instance :0, 5 instance :1
011000000---1 instance :0, 5 instance :1
011000010---1 instance :0, 5 instance :14
011001010---1 instance :0, 5 instance :1
011010000---1 instance :0, 5 instance :5
011010010---1 instance :0, 5 instance :56
011010110---1 instance :0, 5 instance :2
011011010---1 instance :0, 5 instance :1
011110010---1 instance :0, 5 instance :1
100010001---1 instance :1, 5 instance :0
