000000000---1 instance :10, 7 instance :1599
000000001---1 instance :0, 7 instance :2
000000010---1 instance :12, 7 instance :3141
000000011---1 instance :0, 7 instance :2
000000100---1 instance :0, 7 instance :21
000000110---1 instance :1, 7 instance :0
000001000---1 instance :0, 7 instance :24
000001010---1 instance :0, 7 instance :40
000001100---1 instance :0, 7 instance :2
000010000---1 instance :2565, 7 instance :330
000010001---1 instance :1, 7 instance :2
000010010---1 instance :1944, 7 instance :599
000010100---1 instance :28, 7 instance :14
000010101---1 instance :1, 7 instance :0
000011000---1 instance :1, 7 instance :29
000011010---1 instance :1, 7 instance :44
000100000---1 instance :0, 7 instance :106
000100010---1 instance :1, 7 instance :175
000101000---1 instance :0, 7 instance :22
000101010---1 instance :0, 7 instance :17
000110000---1 instance :2, 7 instance :19
000110001---1 instance :0, 7 instance :2
000110010---1 instance :1, 7 instance :25
000111000---1 instance :0, 7 instance :5
000111010---1 instance :0, 7 instance :3
001000110---1 instance :1, 7 instance :0
001010000---1 instance :92, 7 instance :0
001010010---1 instance :1, 7 instance :0
001010100---1 instance :25, 7 instance :0
010000000---1 instance :15, 7 instance :8
010000010---1 instance :5, 7 instance :13
010000100---1 instance :1, 7 instance :3
010010000---1 instance :322, 7 instance :4
010010010---1 instance :1709, 7 instance :11
010010100---1 instance :0, 7 instance :1
010110010---1 instance :1, 7 instance :0
100000010---1 instance :0, 7 instance :1
100001100---1 instance :0, 7 instance :1
100010000---1 instance :1, 7 instance :0
100010001---1 instance :1, 7 instance :0
