000000000---0 instance :319, 5 instance :325
000000001---0 instance :1, 5 instance :2
000000010---0 instance :1008, 5 instance :554
000000100---0 instance :29, 5 instance :2
000000110---0 instance :8, 5 instance :5
000001000---0 instance :520, 5 instance :6
000001001---0 instance :1, 5 instance :0
000001010---0 instance :774, 5 instance :14
000001011---0 instance :1, 5 instance :0
000001100---0 instance :23, 5 instance :0
000001110---0 instance :15, 5 instance :0
000010000---0 instance :63, 5 instance :1043
000010001---0 instance :0, 5 instance :11
000010010---0 instance :129, 5 instance :1718
000010011---0 instance :0, 5 instance :10
000010100---0 instance :8, 5 instance :14
000010110---0 instance :2, 5 instance :31
000011000---0 instance :67, 5 instance :6
000011010---0 instance :84, 5 instance :32
000011011---0 instance :0, 5 instance :3
000011100---0 instance :3, 5 instance :1
000011110---0 instance :5, 5 instance :1
000100000---0 instance :8, 5 instance :4
000100010---0 instance :8, 5 instance :6
000100110---0 instance :0, 5 instance :1
000101000---0 instance :174, 5 instance :1
000101001---0 instance :1, 5 instance :0
000101010---0 instance :217, 5 instance :5
000101110---0 instance :1, 5 instance :0
000110000---0 instance :2, 5 instance :3
000110001---0 instance :0, 5 instance :2
000110010---0 instance :1, 5 instance :40
000110011---0 instance :0, 5 instance :3
000111000---0 instance :14, 5 instance :0
000111010---0 instance :18, 5 instance :4
001000000---0 instance :30, 5 instance :20
001000010---0 instance :11, 5 instance :71
001000100---0 instance :4, 5 instance :1
001000110---0 instance :0, 5 instance :2
001001000---0 instance :11, 5 instance :0
001001010---0 instance :13, 5 instance :0
001001100---0 instance :1, 5 instance :0
001001110---0 instance :1, 5 instance :0
001010000---0 instance :11, 5 instance :97
001010010---0 instance :5, 5 instance :304
001010100---0 instance :0, 5 instance :4
001010110---0 instance :0, 5 instance :5
001011000---0 instance :0, 5 instance :1
001011010---0 instance :2, 5 instance :1
001100000---0 instance :0, 5 instance :1
001100010---0 instance :0, 5 instance :1
001101000---0 instance :1, 5 instance :0
001101010---0 instance :2, 5 instance :0
001110010---0 instance :0, 5 instance :4
001111010---0 instance :1, 5 instance :0
010000000---0 instance :72, 5 instance :25
010000010---0 instance :1067, 5 instance :209
010000100---0 instance :1, 5 instance :0
010000110---0 instance :2, 5 instance :1
010001000---0 instance :72, 5 instance :1
010001001---0 instance :2, 5 instance :0
010001010---0 instance :800, 5 instance :13
010001011---0 instance :1, 5 instance :0
010001100---0 instance :3, 5 instance :0
010001110---0 instance :3, 5 instance :0
010010000---0 instance :9, 5 instance :58
010010001---0 instance :0, 5 instance :1
010010010---0 instance :53, 5 instance :624
010010011---0 instance :0, 5 instance :4
010010100---0 instance :0, 5 instance :3
010010110---0 instance :0, 5 instance :4
010011010---0 instance :26, 5 instance :15
010011011---0 instance :0, 5 instance :2
010011100---0 instance :0, 5 instance :1
010100000---0 instance :2, 5 instance :1
010100010---0 instance :8, 5 instance :0
010101000---0 instance :25, 5 instance :0
010101010---0 instance :165, 5 instance :1
010110000---0 instance :0, 5 instance :1
010110010---0 instance :0, 5 instance :4
010111010---0 instance :6, 5 instance :1
011000000---0 instance :0, 5 instance :2
011000010---0 instance :0, 5 instance :15
011001010---0 instance :2, 5 instance :1
011010000---0 instance :0, 5 instance :5
011010010---0 instance :0, 5 instance :60
011010110---0 instance :0, 5 instance :2
011011010---0 instance :0, 5 instance :1
011110010---0 instance :0, 5 instance :1
110001010---0 instance :1, 5 instance :0
