000000000---2 instance :641, 8 instance :64
000000001---2 instance :18, 8 instance :0
000000010---2 instance :116, 8 instance :221
000000011---2 instance :9, 8 instance :0
000000100---2 instance :74, 8 instance :4
000000110---2 instance :7, 8 instance :1
000001000---2 instance :44, 8 instance :6
000001010---2 instance :5, 8 instance :13
000010000---2 instance :786, 8 instance :497
000010001---2 instance :25, 8 instance :7
000010010---2 instance :112, 8 instance :3188
000010011---2 instance :10, 8 instance :12
000010100---2 instance :32, 8 instance :11
000010101---2 instance :1, 8 instance :0
000010110---2 instance :2, 8 instance :25
000011000---2 instance :86, 8 instance :28
000011010---2 instance :3, 8 instance :68
000100000---2 instance :6, 8 instance :0
000100001---2 instance :0, 8 instance :1
000100010---2 instance :2, 8 instance :1
000100011---2 instance :1, 8 instance :0
000101100---2 instance :1, 8 instance :0
000110000---2 instance :14, 8 instance :6
000110001---2 instance :0, 8 instance :1
000110010---2 instance :0, 8 instance :8
000111001---2 instance :0, 8 instance :1
000111010---2 instance :0, 8 instance :1
001000000---2 instance :16, 8 instance :2
001000010---2 instance :0, 8 instance :6
001000100---2 instance :6, 8 instance :0
001010000---2 instance :15, 8 instance :35
001010010---2 instance :2, 8 instance :56
001010011---2 instance :0, 8 instance :1
001011000---2 instance :0, 8 instance :1
001011010---2 instance :0, 8 instance :1
001100000---2 instance :2, 8 instance :0
010000000---2 instance :1242, 8 instance :8
010000001---2 instance :60, 8 instance :0
010000010---2 instance :303, 8 instance :47
010000011---2 instance :20, 8 instance :0
010000100---2 instance :58, 8 instance :1
010000101---2 instance :1, 8 instance :0
010000110---2 instance :12, 8 instance :0
010001000---2 instance :22, 8 instance :0
010001001---2 instance :1, 8 instance :0
010001010---2 instance :6, 8 instance :3
010001011---2 instance :2, 8 instance :0
010001100---2 instance :2, 8 instance :0
010010000---2 instance :1374, 8 instance :81
010010001---2 instance :109, 8 instance :1
010010010---2 instance :492, 8 instance :1375
010010011---2 instance :45, 8 instance :5
010010100---2 instance :38, 8 instance :2
010010110---2 instance :4, 8 instance :3
010010111---2 instance :1, 8 instance :0
010011000---2 instance :56, 8 instance :2
010011001---2 instance :0, 8 instance :1
010011010---2 instance :11, 8 instance :35
010011110---2 instance :0, 8 instance :2
010100000---2 instance :4, 8 instance :0
010110000---2 instance :12, 8 instance :2
010110010---2 instance :0, 8 instance :2
010110011---2 instance :0, 8 instance :1
010111000---2 instance :0, 8 instance :1
010111010---2 instance :0, 8 instance :1
011000000---2 instance :5, 8 instance :0
011000100---2 instance :1, 8 instance :0
011001000---2 instance :1, 8 instance :0
011010000---2 instance :5, 8 instance :1
011010010---2 instance :2, 8 instance :5
011010100---2 instance :3, 8 instance :0
100000000---2 instance :1, 8 instance :0
100000010---2 instance :2, 8 instance :0
100010000---2 instance :4, 8 instance :0
100010010---2 instance :1, 8 instance :0
110000000---2 instance :2, 8 instance :0
110000010---2 instance :3, 8 instance :0
110000011---2 instance :1, 8 instance :0
110001000---2 instance :1, 8 instance :0
110001010---2 instance :1, 8 instance :0
110010000---2 instance :6, 8 instance :0
110010010---2 instance :2, 8 instance :0
