000000000---5 instance :298, 6 instance :576
000000001---5 instance :2, 6 instance :0
000000010---5 instance :518, 6 instance :166
000000011---5 instance :1, 6 instance :0
000000100---5 instance :2, 6 instance :0
000000110---5 instance :7, 6 instance :0
000001000---5 instance :5, 6 instance :201
000001010---5 instance :15, 6 instance :9
000010000---5 instance :994, 6 instance :1041
000010001---5 instance :11, 6 instance :1
000010010---5 instance :1659, 6 instance :429
000010011---5 instance :9, 6 instance :0
000010100---5 instance :16, 6 instance :0
000010110---5 instance :32, 6 instance :0
000011000---5 instance :7, 6 instance :254
000011010---5 instance :33, 6 instance :26
000011011---5 instance :5, 6 instance :0
000011110---5 instance :2, 6 instance :0
000100000---5 instance :2, 6 instance :0
000100010---5 instance :6, 6 instance :0
000101000---5 instance :2, 6 instance :17
000101010---5 instance :5, 6 instance :2
000110000---5 instance :5, 6 instance :0
000110001---5 instance :3, 6 instance :0
000110010---5 instance :42, 6 instance :0
000110011---5 instance :4, 6 instance :0
000110110---5 instance :2, 6 instance :0
000111000---5 instance :1, 6 instance :24
000111010---5 instance :4, 6 instance :1
001000000---5 instance :20, 6 instance :26
001000010---5 instance :76, 6 instance :24
001000110---5 instance :2, 6 instance :0
001001000---5 instance :0, 6 instance :2
001001010---5 instance :0, 6 instance :1
001010000---5 instance :99, 6 instance :49
001010010---5 instance :334, 6 instance :43
001010100---5 instance :4, 6 instance :0
001010110---5 instance :7, 6 instance :0
001011000---5 instance :1, 6 instance :6
001011010---5 instance :1, 6 instance :2
001100000---5 instance :1, 6 instance :0
001110010---5 instance :5, 6 instance :0
010000000---5 instance :22, 6 instance :707
010000001---5 instance :2, 6 instance :0
010000010---5 instance :215, 6 instance :131
010000011---5 instance :1, 6 instance :0
010000110---5 instance :2, 6 instance :0
010001000---5 instance :1, 6 instance :257
010001010---5 instance :17, 6 instance :25
010010000---5 instance :54, 6 instance :1017
010010010---5 instance :709, 6 instance :373
010010011---5 instance :8, 6 instance :0
010010100---5 instance :3, 6 instance :0
010010110---5 instance :4, 6 instance :0
010011000---5 instance :2, 6 instance :385
010011010---5 instance :16, 6 instance :76
010011011---5 instance :2, 6 instance :0
010011100---5 instance :2, 6 instance :0
010100000---5 instance :1, 6 instance :0
010101000---5 instance :0, 6 instance :10
010110000---5 instance :1, 6 instance :0
010110010---5 instance :8, 6 instance :1
010111000---5 instance :0, 6 instance :16
010111010---5 instance :1, 6 instance :4
011000000---5 instance :2, 6 instance :0
011000010---5 instance :14, 6 instance :1
011000110---5 instance :1, 6 instance :0
011001010---5 instance :2, 6 instance :0
011010000---5 instance :5, 6 instance :2
011010010---5 instance :75, 6 instance :0
011010110---5 instance :2, 6 instance :0
011011010---5 instance :2, 6 instance :0
011110010---5 instance :2, 6 instance :0
100001000---5 instance :0, 6 instance :4
100011000---5 instance :0, 6 instance :2
100011010---5 instance :0, 6 instance :1
100101000---5 instance :0, 6 instance :3
