000000000---3 instance :56, 6 instance :743
000000001---3 instance :2, 6 instance :0
000000010---3 instance :131, 6 instance :118
000000100---3 instance :5, 6 instance :0
000000110---3 instance :4, 6 instance :0
000001000---3 instance :2, 6 instance :215
000001010---3 instance :0, 6 instance :6
000010000---3 instance :424, 6 instance :1176
000010001---3 instance :2, 6 instance :0
000010010---3 instance :1972, 6 instance :309
000010011---3 instance :5, 6 instance :0
000010100---3 instance :116, 6 instance :0
000010110---3 instance :202, 6 instance :0
000011000---3 instance :10, 6 instance :250
000011010---3 instance :22, 6 instance :14
000011110---3 instance :4, 6 instance :0
000100000---3 instance :5, 6 instance :1
000101000---3 instance :0, 6 instance :11
000101010---3 instance :1, 6 instance :2
000110000---3 instance :6, 6 instance :0
000110010---3 instance :11, 6 instance :0
000111000---3 instance :0, 6 instance :17
001000000---3 instance :2, 6 instance :32
001000010---3 instance :1, 6 instance :17
001001000---3 instance :0, 6 instance :3
001001010---3 instance :0, 6 instance :1
001010000---3 instance :4, 6 instance :50
001010010---3 instance :7, 6 instance :35
001010100---3 instance :1, 6 instance :0
001011000---3 instance :0, 6 instance :5
001011010---3 instance :0, 6 instance :1
001110000---3 instance :1, 6 instance :0
010000000---3 instance :69, 6 instance :800
010000010---3 instance :289, 6 instance :85
010000100---3 instance :7, 6 instance :0
010000110---3 instance :4, 6 instance :0
010001000---3 instance :2, 6 instance :246
010001010---3 instance :8, 6 instance :20
010001110---3 instance :1, 6 instance :0
010010000---3 instance :265, 6 instance :1101
010010001---3 instance :0, 6 instance :1
010010010---3 instance :2201, 6 instance :221
010010011---3 instance :1, 6 instance :0
010010100---3 instance :47, 6 instance :0
010010110---3 instance :149, 6 instance :0
010011000---3 instance :2, 6 instance :356
010011010---3 instance :28, 6 instance :47
010011110---3 instance :1, 6 instance :0
010100000---3 instance :1, 6 instance :0
010100010---3 instance :1, 6 instance :0
010101000---3 instance :0, 6 instance :8
010101010---3 instance :0, 6 instance :1
010110010---3 instance :9, 6 instance :1
010110110---3 instance :2, 6 instance :0
010111000---3 instance :0, 6 instance :10
010111010---3 instance :0, 6 instance :3
011000000---3 instance :0, 6 instance :1
011010000---3 instance :3, 6 instance :2
011010010---3 instance :2, 6 instance :0
011010100---3 instance :1, 6 instance :0
011010110---3 instance :1, 6 instance :0
011011010---3 instance :1, 6 instance :0
100000010---3 instance :5, 6 instance :0
100001000---3 instance :0, 6 instance :3
100010000---3 instance :2, 6 instance :0
100010010---3 instance :14, 6 instance :0
100011000---3 instance :0, 6 instance :2
100011010---3 instance :2, 6 instance :1
100101000---3 instance :0, 6 instance :2
110000010---3 instance :2, 6 instance :0
110001010---3 instance :1, 6 instance :0
110010010---3 instance :11, 6 instance :0
110010110---3 instance :1, 6 instance :0
110011010---3 instance :1, 6 instance :0
