000000000---1 instance :12, 9 instance :787
000000001---1 instance :0, 9 instance :14
000000010---1 instance :13, 9 instance :633
000000100---1 instance :0, 9 instance :1
000000110---1 instance :1, 9 instance :0
000001000---1 instance :0, 9 instance :4
000001001---1 instance :0, 9 instance :2
000001010---1 instance :0, 9 instance :8
000010000---1 instance :2651, 9 instance :1566
000010001---1 instance :1, 9 instance :13
000010010---1 instance :1995, 9 instance :2387
000010011---1 instance :0, 9 instance :3
000010100---1 instance :27, 9 instance :5
000010101---1 instance :1, 9 instance :0
000010110---1 instance :0, 9 instance :1
000011000---1 instance :1, 9 instance :12
000011001---1 instance :0, 9 instance :2
000011010---1 instance :1, 9 instance :12
000011011---1 instance :0, 9 instance :1
000011100---1 instance :0, 9 instance :1
000100000---1 instance :0, 9 instance :98
000100001---1 instance :0, 9 instance :26
000100010---1 instance :1, 9 instance :19
000101000---1 instance :0, 9 instance :12
000101001---1 instance :0, 9 instance :5
000101010---1 instance :0, 9 instance :4
000110000---1 instance :2, 9 instance :84
000110001---1 instance :0, 9 instance :23
000110010---1 instance :1, 9 instance :34
000111000---1 instance :0, 9 instance :7
000111001---1 instance :0, 9 instance :2
000111010---1 instance :0, 9 instance :16
001000110---1 instance :1, 9 instance :0
001010000---1 instance :83, 9 instance :0
001010100---1 instance :21, 9 instance :0
010000000---1 instance :15, 9 instance :24
010000001---1 instance :0, 9 instance :4
010000010---1 instance :5, 9 instance :15
010000100---1 instance :1, 9 instance :0
010001010---1 instance :0, 9 instance :1
010010000---1 instance :328, 9 instance :26
010010010---1 instance :1579, 9 instance :80
010010100---1 instance :0, 9 instance :1
010011010---1 instance :0, 9 instance :3
010100000---1 instance :0, 9 instance :5
010100001---1 instance :0, 9 instance :1
010101000---1 instance :0, 9 instance :2
010101001---1 instance :0, 9 instance :1
010110000---1 instance :0, 9 instance :2
010110010---1 instance :1, 9 instance :0
010111010---1 instance :0, 9 instance :2
100010001---1 instance :1, 9 instance :0
