000000000---4 instance :822, 7 instance :1381
000000001---4 instance :12, 7 instance :2
000000010---4 instance :597, 7 instance :3108
000000011---4 instance :0, 7 instance :3
000000100---4 instance :0, 7 instance :21
000001000---4 instance :54, 7 instance :26
000001010---4 instance :47, 7 instance :55
000001100---4 instance :0, 7 instance :3
000010000---4 instance :1152, 7 instance :350
000010001---4 instance :34, 7 instance :4
000010010---4 instance :1276, 7 instance :700
000010011---4 instance :2, 7 instance :0
000010100---4 instance :1, 7 instance :19
000011000---4 instance :137, 7 instance :36
000011001---4 instance :6, 7 instance :0
000011010---4 instance :146, 7 instance :54
000100000---4 instance :92, 7 instance :106
000100001---4 instance :11, 7 instance :1
000100010---4 instance :41, 7 instance :215
000101000---4 instance :23, 7 instance :26
000101001---4 instance :5, 7 instance :0
000101010---4 instance :5, 7 instance :23
000101100---4 instance :0, 7 instance :1
000110000---4 instance :148, 7 instance :22
000110001---4 instance :29, 7 instance :2
000110010---4 instance :80, 7 instance :25
000111000---4 instance :40, 7 instance :8
000111001---4 instance :11, 7 instance :0
000111010---4 instance :29, 7 instance :3
001000000---4 instance :95, 7 instance :0
001000010---4 instance :94, 7 instance :0
001001000---4 instance :2, 7 instance :0
001001001---4 instance :1, 7 instance :0
001001010---4 instance :7, 7 instance :0
001010000---4 instance :128, 7 instance :0
001010010---4 instance :106, 7 instance :0
001011000---4 instance :25, 7 instance :0
001011010---4 instance :9, 7 instance :0
001011100---4 instance :1, 7 instance :0
001100000---4 instance :13, 7 instance :0
001100010---4 instance :13, 7 instance :0
001101000---4 instance :4, 7 instance :0
001101010---4 instance :2, 7 instance :0
001110000---4 instance :15, 7 instance :0
001110010---4 instance :14, 7 instance :0
001111000---4 instance :2, 7 instance :0
001111010---4 instance :5, 7 instance :0
010000000---4 instance :118, 7 instance :13
010000001---4 instance :1, 7 instance :0
010000010---4 instance :78, 7 instance :18
010000100---4 instance :0, 7 instance :3
010001000---4 instance :12, 7 instance :0
010001010---4 instance :9, 7 instance :0
010010000---4 instance :94, 7 instance :9
010010010---4 instance :121, 7 instance :23
010010100---4 instance :0, 7 instance :1
010011000---4 instance :13, 7 instance :0
010011010---4 instance :11, 7 instance :0
010100000---4 instance :1, 7 instance :0
010100001---4 instance :1, 7 instance :0
010100010---4 instance :3, 7 instance :0
010101000---4 instance :2, 7 instance :0
010110000---4 instance :3, 7 instance :0
010111000---4 instance :4, 7 instance :0
011000000---4 instance :2, 7 instance :0
011000010---4 instance :7, 7 instance :0
011001010---4 instance :1, 7 instance :0
011010000---4 instance :2, 7 instance :0
011010010---4 instance :2, 7 instance :0
011100000---4 instance :2, 7 instance :0
011110010---4 instance :1, 7 instance :0
100000001---4 instance :1, 7 instance :0
100000010---4 instance :0, 7 instance :2
100001000---4 instance :3, 7 instance :0
100001001---4 instance :1, 7 instance :0
100001100---4 instance :0, 7 instance :1
100010000---4 instance :2, 7 instance :0
100010001---4 instance :1, 7 instance :0
100011000---4 instance :1, 7 instance :0
100101001---4 instance :1, 7 instance :0
100110000---4 instance :1, 7 instance :0
100110001---4 instance :3, 7 instance :0
100111000---4 instance :1, 7 instance :0
100111001---4 instance :1, 7 instance :0
100111010---4 instance :1, 7 instance :0
