000000000---6 instance :493, 9 instance :704
000000001---6 instance :0, 9 instance :13
000000010---6 instance :174, 9 instance :590
000000100---6 instance :0, 9 instance :1
000001000---6 instance :189, 9 instance :5
000001001---6 instance :0, 9 instance :1
000001010---6 instance :13, 9 instance :9
000010000---6 instance :931, 9 instance :1534
000010001---6 instance :1, 9 instance :9
000010010---6 instance :512, 9 instance :2464
000010011---6 instance :0, 9 instance :4
000010100---6 instance :0, 9 instance :5
000010110---6 instance :0, 9 instance :1
000011000---6 instance :262, 9 instance :13
000011001---6 instance :0, 9 instance :3
000011010---6 instance :28, 9 instance :14
000011011---6 instance :0, 9 instance :1
000011100---6 instance :0, 9 instance :1
000100000---6 instance :1, 9 instance :96
000100001---6 instance :0, 9 instance :29
000100010---6 instance :0, 9 instance :22
000101000---6 instance :19, 9 instance :14
000101001---6 instance :0, 9 instance :7
000101010---6 instance :2, 9 instance :4
000110000---6 instance :0, 9 instance :93
000110001---6 instance :0, 9 instance :27
000110010---6 instance :0, 9 instance :41
000111000---6 instance :31, 9 instance :7
000111001---6 instance :0, 9 instance :3
000111010---6 instance :2, 9 instance :20
001000000---6 instance :21, 9 instance :0
001000010---6 instance :31, 9 instance :0
001001000---6 instance :2, 9 instance :0
001001010---6 instance :1, 9 instance :0
001010000---6 instance :53, 9 instance :0
001010010---6 instance :51, 9 instance :0
001011000---6 instance :6, 9 instance :0
001011010---6 instance :2, 9 instance :0
001100010---6 instance :1, 9 instance :0
010000000---6 instance :622, 9 instance :31
010000001---6 instance :0, 9 instance :4
010000010---6 instance :171, 9 instance :17
010001000---6 instance :264, 9 instance :0
010001010---6 instance :32, 9 instance :1
010010000---6 instance :966, 9 instance :35
010010001---6 instance :0, 9 instance :3
010010010---6 instance :473, 9 instance :103
010010011---6 instance :1, 9 instance :0
010010100---6 instance :0, 9 instance :1
010011000---6 instance :405, 9 instance :0
010011010---6 instance :105, 9 instance :4
010100000---6 instance :0, 9 instance :7
010100001---6 instance :0, 9 instance :1
010101000---6 instance :10, 9 instance :2
010101001---6 instance :0, 9 instance :1
010101010---6 instance :1, 9 instance :0
010110000---6 instance :1, 9 instance :2
010111000---6 instance :18, 9 instance :0
010111010---6 instance :4, 9 instance :2
011000010---6 instance :3, 9 instance :0
011010000---6 instance :3, 9 instance :0
011110010---6 instance :1, 9 instance :0
100000000---6 instance :1, 9 instance :0
100001000---6 instance :4, 9 instance :0
100010000---6 instance :1, 9 instance :0
100011000---6 instance :2, 9 instance :0
100011010---6 instance :1, 9 instance :0
100101000---6 instance :3, 9 instance :0
