000000000---5 instance :292, 9 instance :763
000000001---5 instance :2, 9 instance :13
000000010---5 instance :509, 9 instance :618
000000011---5 instance :1, 9 instance :0
000000100---5 instance :3, 9 instance :1
000000110---5 instance :7, 9 instance :0
000001000---5 instance :5, 9 instance :4
000001001---5 instance :0, 9 instance :2
000001010---5 instance :15, 9 instance :8
000010000---5 instance :976, 9 instance :1554
000010010---5 instance :1651, 9 instance :2414
000010011---5 instance :9, 9 instance :3
000010100---5 instance :16, 9 instance :5
000010110---5 instance :32, 9 instance :1
000011000---5 instance :8, 9 instance :13
000011001---5 instance :0, 9 instance :2
000011010---5 instance :34, 9 instance :13
000011011---5 instance :5, 9 instance :1
000011100---5 instance :0, 9 instance :1
000011110---5 instance :2, 9 instance :0
000100000---5 instance :2, 9 instance :99
000100001---5 instance :0, 9 instance :26
000100010---5 instance :6, 9 instance :19
000101000---5 instance :2, 9 instance :12
000101001---5 instance :0, 9 instance :7
000101010---5 instance :5, 9 instance :4
000110000---5 instance :6, 9 instance :85
000110001---5 instance :3, 9 instance :25
000110010---5 instance :43, 9 instance :38
000110011---5 instance :4, 9 instance :0
000110110---5 instance :2, 9 instance :0
000111000---5 instance :1, 9 instance :7
000111001---5 instance :0, 9 instance :2
000111010---5 instance :3, 9 instance :17
001000000---5 instance :20, 9 instance :0
001000010---5 instance :78, 9 instance :0
001000110---5 instance :2, 9 instance :0
001010000---5 instance :103, 9 instance :0
001010010---5 instance :342, 9 instance :0
001010100---5 instance :4, 9 instance :0
001010110---5 instance :8, 9 instance :0
001011000---5 instance :1, 9 instance :0
001011010---5 instance :1, 9 instance :0
001100000---5 instance :1, 9 instance :0
001100010---5 instance :1, 9 instance :0
001110010---5 instance :5, 9 instance :0
010000000---5 instance :22, 9 instance :28
010000001---5 instance :2, 9 instance :4
010000010---5 instance :214, 9 instance :16
010000011---5 instance :2, 9 instance :0
010000110---5 instance :2, 9 instance :0
010001000---5 instance :2, 9 instance :0
010001010---5 instance :17, 9 instance :1
010010000---5 instance :52, 9 instance :27
010010010---5 instance :726, 9 instance :87
010010011---5 instance :8, 9 instance :0
010010100---5 instance :3, 9 instance :1
010010110---5 instance :4, 9 instance :0
010011000---5 instance :2, 9 instance :0
010011010---5 instance :16, 9 instance :3
010011011---5 instance :2, 9 instance :0
010011100---5 instance :2, 9 instance :0
010100000---5 instance :1, 9 instance :5
010100001---5 instance :0, 9 instance :1
010101000---5 instance :0, 9 instance :2
010101001---5 instance :0, 9 instance :1
010101010---5 instance :1, 9 instance :0
010110000---5 instance :1, 9 instance :2
010110010---5 instance :8, 9 instance :0
010111010---5 instance :1, 9 instance :2
011000000---5 instance :1, 9 instance :0
011000010---5 instance :15, 9 instance :0
011000110---5 instance :1, 9 instance :0
011001010---5 instance :2, 9 instance :0
011010000---5 instance :5, 9 instance :0
011010010---5 instance :80, 9 instance :0
011010110---5 instance :2, 9 instance :0
011011010---5 instance :2, 9 instance :0
011110010---5 instance :2, 9 instance :0
011111010---5 instance :1, 9 instance :0
